10 PAEZINHOS#SÃO PAULO#BRASIL
A & A & A#RIO DE JANEIRO#BRASIL
A PÁGINA#PARANÁ#BRASIL
ABRIL#SÃO PAULO#BRASIL
ADONIS#SÃO PAULO#BRASIL
AEROPLANO#RIO DE JANEIRO#BRASIL
AGIR#RIO DE JANEIRO#BRASIL
ALB#SÃO PAULO#BRASIL
ALETRIA#MINAS GERAIS#BRASIL
ALGAZARRA EDITORIAL#MINAS GERAIS#BRASIL
ALÍNEA#SÃO PAULO#BRASIL
ALIS #MINAS GERAIS#BRASIL
ALTAYA##
AMERICAN EXPRESS#SÃO PAULO#BRASIL
AMERICANGRAF IMPRESSOS#SÃO PAULO#BRASIL
AO LIVRO TÉCNICO#RIO DE JANEIRO#BRASIL
APEL#SÃO PAULO#BRASIL
APILA#SÃO PAULO#BRASIL
AQUARIANA#SÃO PAULO#BRASIL
ARGVMENTVM#MINAS GERAIS#BRASIL
ARTES & OFÍCIOS#RIO GRANDE DO SUL#BRASIL
ARTES MÉDICAS#RIO GRANDE DO SUL#BRASIL
ARTIFÍCIO#SÃO PAULO#BRASIL
ARTMED#RIO GRANDE DO SUL#BRASIL
ÁRVORE DO SABER#SÃO PAULO#BRASIL
ATELIÊ EDITORIAL#SÃO PAULO#BRASIL
ATENIENSE#SÃO PAULO#BRASIL
ATICA#SÃO PAULO#BRASIL
ATLAS#SÃO PAULO#BRASIL
ÁTOMO#SÃO PAULO#BRASIL
ATUAL#SÃO PAULO#BRASIL
AUGUSTUS#SÃO PAULO#BRASIL
AUTENTICA#MINAS GERAIS#BRASIL
AUTO ESTIMA#SÃO PAULO#BRASIL
AUTORES ASSOCIADOS#SÃO PAULO#BRASIL
AVE MARIA#SÃO PAULO#BRASIL
AVENIDA#SANTA CATARINA#BRASIL
AYMARÁ#PARANÁ#BRASIL
BAGAÇO#PERNAMBUCO#BRASIL
BASE EDITORA#PARANÁ#BRASIL
BERLENDIS  E VERTECCHIA #SÃO PAULO #BRASIL
BERTRAND BRASIL#RIO DE JANEIRO#BRASIL
BEST BOOK#SÃO PAULO#BRASIL
BEST SELLER#RIO DE JANEIRO#BRASIL
BIBLE DISTRIBUTION LEAGUE#SÃO PAULO#BRASIL
BIBLIOTECA DO EXÉRCITO#RIO DE JANEIRO#BRASIL
BICHO ESPERTO#SANTA CATARINA#BRASIL
BIOLOGIA & SAÚDE#RIO DE JANEIRO#BRASIL
BIRUTA#SÃO PAULO#BRASIL
BLGM EDITORA#SÃO PAULO#BRASIL
BLOCH EDITORES#SÃO PAULO#BRASIL
BNL#PARANÁ#BRASIL
BOA COMPANHIA#SÃO PAULO #BRASIL
BOA VIAGEM#MINAS GERAIS#BRASIL
BOM JESUS#SÃO PAULO#BRASIL
BOM TEXTO#RIO DE JANEIRO#BRASIL
BRADESANTA CATARINAO #SÃO PAULO#BRASIL
BRASIL #SÃO PAULO#BRASIL
BRASIL-AMÉRICA#RIO DE JANEIRO#BRASIL
BRASILEITURA#SÃO PAULO#BRASIL
BRASÍLIA#RIO DE JANEIRO#BRASIL
BRASILIENSE#SÃO PAULO#BRASIL
BRASILIVROS#SÃO PAULO#BRASIL
BRASILLEITURA#SANTA CATARINA#BRASIL
BRINQUE-BOOK#SÃO PAULO#BRASIL
BURITI#SÃO PAULO#BRASIL
CALLIS#SÃO PAULO#BRASIL
CAMBRIDGE#SÃO PAULO#BRASIL
CAMINHO EDITORIAL#SÃO PAULO#BRASIL
CAMPUS#RIO DE JANEIRO#BRASIL
CANÇÃO NOVA#SÃO PAULO#BRASIL
CÂNONE#GOIAS#BRASIL
CAPUANO#SÃO PAULO#BRASIL
CARAMELO#SÃO PAULO#BRASIL
CASA AMARELA#SÃO PAULO#BRASIL
CASA DIA#SÃO PAULO#BRASIL
CASA LYGIA BOJUNGA#RIO DE JANEIRO#BRASIL
CASA PUBLICADORA#SÃO PAULO#BRASIL
CEDI#SÃO PAULO#BRASIL
CEDIBRA#SÃO PAULO#BRASIL
CEDIC#MINAS GERAIS#BRASIL
CENESÃO PAULO#SÃO PAULO#BRASIL
CENPÉC#SÃO PAULO#BRASIL
CENTRAIS IMPRESSORAS BRASILEIRAS#SÃO PAULO#BRASIL
CENTRO-OESTE#SÃO PAULO#BRASIL
CHOCOLATE#SANTA CATARINA#BRASIL
CIRANDA CULTURAL#SÃO PAULO#BRASIL
CIRCULO DO LIVRO#SÃO PAULO#BRASIL
CIVILIZAÇÃO BRASILEIRA#RIO DE JANEIRO#BRASIL
CLÁ GOODYEAR#SÃO PAULO#BRASIL
CLARANTO#MINAS GERAIS#BRASIL
CLICK#SÃO PAULO#BRASIL
CLUBE DO LIVRO#SÃO PAULO#BRASIL
CÓDICE#SÃO PAULO#BRASIL
COMBOIO DE CORDA#SÃO PAULO#BRASIL
COMPACTA#SÃO PAULO#BRASIL
COMPANHIA BRASILEIRA DE ARTES#RIO DE JANEIRO#BRASIL
COMPANHIA DAS LETRAS#SÃO PAULO#BRASIL
COMPANHIA DAS LETRINHAS#SÃO PAULO#BRASIL
COMPANHIA DE LIVROS##BRASIL
COMPANHIA EDITORA NACIONAL#SÃO PAULO#BRASIL
COMPOR#MINAS GERAIS#BRASIL
COMUNICAÇÃO#MINAS GERAIS#BRASIL
CONHECIMENTO#CEARA#BRASIL
CONSÓRCIO PCJ#SÃO PAULO#BRASIL
CONTEXTO#SÃO PAULO#BRASIL
CORTEZ#SÃO PAULO#BRASIL
CORTEZ#SÃO PAULO#BRASIL
COSAC & NAIFY#SÃO PAULO#BRASIL
COVOLAN#SÃO PAULO#BRASIL
CRIANÇA FELIZ#SÃO PAULO#BRASIL
CROMOCART#SÃO PAULO#BRASIL
CULTRIX#SÃO PAULO#BRASIL
D&Z#SÃO PAULO#BRASIL
DA MENTE#RIO GRANDE DO SUL#BRASIL
DAS AMÉRICAS#SÃO PAULO #BRASIL
DCL#SÃO PAULO#BRASIL
DELEITURA#SÃO PAULO#BRASIL
DELPRADO#MADRI#ESPANHA
DELTA S/A#RIO DE JANEIRO#BRASIL
DENATRAN#DISTRITO FEDERAL#BRASIL
DEVIR LIVRARIA#SÃO PAULO#BRASIL
DIBRA#SÃO PAULO#BRASIL
DIDÁTICA PAULISTA#SÃO PAULO#BRASIL
DIFEL#SÃO PAULO#BRASIL
DIFUSÃO CULTURAL DO LIVRO#SÃO PAULO#BRASIL
DIMENSÃO#SÃO PAULO#BRASIL
DIVISÃO CULTURAL DO LIVRO#SÃO PAULO#BRASIL
DO BRASIL S/A#SÃO PAULO#BRASIL
DOCUMENTAL#RIO DE JANEIRO#BRASIL
DP & A#RIO DE JANEIRO#BRASIL
DUBOLSINHO#MINAS GERAIS#BRASIL
DUNA DUETO#SÃO PAULO#BRASIL
E P U#SÃO PAULO#BRASIL
EB#SÃO PAULO#BRASIL
ECO ARTE#SÃO PAULO#BRASIL
EDELBRA#SÃO PAULO#BRASIL
EDGARD BLUCHER#SÃO PAULO#BRASIL
EDIÇÃO DO AUTOR#SÃO PAULO#BRASIL
EDIÇÕES DE OURO#RIO DE JANEIRO#BRASIL
EDIÇÕES DEMÓCRITO ROCHA#CEARA#BRASIL
EDIÇÕES SABIDA#SANTA CATARINA#BRASIL
EDIÇÕES SICILIANO#SÃO PAULO#BRASIL
EDIÇÕES SM#SÃO PAULO#BRASIL
EDIGRAF#SÃO PAULO#BRASIL
EDIOURO#RIO DE JANEIRO#BRASIL
EDITORA 34#RIO DE JANEIRO#BRASIL
EDITORA DE MAPAS#SÃO PAULO#BRASIL
EDITORA DO BRASIL S/A#SÃO PAULO#BRASIL
EDITORA E ILUSTRAÇÕES##BRASIL
EDITORA NACIONAL#SÃO PAULO#BRASIL
EDITORA TRÊS#SÃO PAULO#BRASIL
