A. JÚNIOR, JAIME
BERGAMINI, CECÍLIA WHITAKER
BERGER, EDGARD M.
BERGER, MILTON
BERLINCK, JOSÉ GUILHERME CHAUI 
BERNARDES, CYRO
BERNARDI JÚNIOR, HERMES
BERNARDIN, JACQUES
BERNARDO, GUSTAVO
BERTOLUCI, JAIME
BERTRAND, CÉCILE
BERUTTI, FLÁVIO COSTA
BESKOW, OLDEMAR
BETTELHEIM, BRUNO
BETTO, FREI
BEYER, ESTHER
BIARDO, HÉLIO
BICALHO, GABRIEL
BICHOFF, ULRICH
BICHSEL, PETER
BILAC, OLAVO
BITTENCOURT, CIRCE MARIA FERNANDES
BIZZO, NELIO
BIZZOTTO, MARIA INÊS
BLAKE, QUENTIN
BLANC, NERO
BLAY, BEATRIZ
BOCAGE, MANUEL DU
BOCHECO, ELOÍ ELISABETE
BOCKEMÜHL, MICHAEL
BODENBURG, ANGELA
BOEF, WALTER
BOFF, LEONARDO
BOJUNGA, LYGIA
BOLDRIN, ROLANDO
BOLZAN, DÓRIS
BONASSI, FERNANDO
BOND, ROSANA
BONFIM, JOÃO BOSCO BEZERRA
BONITO, ANGELO
BONJUNGA, LYGIA
BOOCK, SYLVIA HELENA
BORATYNSKI, ANTONI
BORDIN, JUSSARA
BORGES, CÉLIA MARIA FERREIRA
BORGES, JORGE LUIS
BORGES, ROGÉRIO
BORNE,  ISABELLE
BORNHEIM, GERD
BORTOLIN, RENATA CRISTIANE GUERRA
BORTOLINI, JOSÉ
BOSI, ALFREDO
BOSING, WALTER
BOULOS JÚNIOR, ALFREDO
BOURDOUKAN, GEORGES
BOYER, CARL
BRACHT, VALTER E OUTROS
BRADBURY, RAY
BRAGA, ADRIANA REGINA
BRAGA, EDSON ROCHA
BRAGA, JUSSARA
BRAGA, MÁRCIA MARIA VILLANACCI
BRAGA, RUBEM
BRAGA-TORRES, ANGELA
BRANCA, MARIA  DE PAULA
BRANCO, CAMILO CASTELO
BRANCO, SAMUEL MURGEL
BRANDÃO, ANA LÚCIA
BRANDÃO, HELIANA 
BRANDÃO, IGNÁCIO DE LOYOLA
BRANDÃO, ILDEU
BRANDÃO, LUIS ALBERTO
BRANDÃO, MARIA DO CARMO 
BRANDÃO, ZAIA
BRANDOLIN, THOMAZ
BRANT, JOSÉ MAURO
BRASIL, ASSIS
BRASIL, LUIZ ANTONIO DE ASSIS
BRAVO, HÉCTOR FÉLIX
BRAZ, JÚLIO EMÍLIO
BRAZ, MARIA
BRAZ,SALVINO DOS SANTOS
BRAZ,SARAH DOS SANTOS
BREFE, ANA CLÁUDIA FONSECA
BRENER, JAYME
BRETON, FLORENCE
BRIAN,MOSES
BRIEGHEL-MULLER, GUNNA
BRIGHT, M
BRITO NETO, JOSÉ 
BRITO, ALEXANDRE
BRITO, HELENA
BRITO, RONALDO CORREA DE
BRIZUELA, BÁRBARA M.
BROCHADO, FERNANDO AUGUSTO 
BROCHADO, MONICA MARIA VIVIANI
BRODBECK, MARTA DE SOUZA LIMA
BRONTË, EMILY
BROWN, DEE
BROWNE, DIK
BROWNING, ROBERT
BRUHNS, HELOISA
BRUNO, SOLANGE CLAUDINO
BRUNSIZIAN, IZABEL
BRUNSTEIN, RAQUEL
BRYNT, PETER
BRZEZINSKI, IRIA
BUARQUE, CHICO
BUARQUE, CRISTOVAM
BUCH, W.
BUCHWEITZ, CLÉLIA A.
BUCHWEITZ, DONALDO
BUDGE, WALLIS
BUENO, EDNA
BUENO, EDUARDO
BUENO, RENATA
BUENO, SILVEIRA
BULLÓN, ALEJANDRO
BUNETT, H. FRANCE
BUNIN, RACHEL BIHELLER
BURLAND, C. A
BURNETT,H.FRANCES
BUTTERFIELD, MOIRA 
BUZZATI, DINO
BYINGTON
CABOCLO, MANOEL
CABRAL , RODRIGO ESPINOSA
CABRAL, GLADIR
CABRAL, RODRIGO ESPINOSA
CABRAL, SÉRGIO
CÁCERES, FLORIVAL
CADERMATORI, LIGIA
CADORE, LUIS AGOSTINHO
CAGLIARI, LUIS CARLOS
CAIXEIRO, NATHANAEL C.
CALDINI, VERA
CALLADO, ANTÔNIO
CALLEGARI, CESAR
CALLEGARI, NEWTON
CALVI, GIAN
CALVINO, ITALO
CAMARGO, DILAN
CAMARGO, JOSÉ EDUARDO E SOARES, L 
CAMARGO, MILTON
