A. JÚNIOR, JAIME
KAFKA, FRANZ
KAMADA, JULIANA KYOKO
KAMII, CONSTANCE
KAN, LAI PO
KANÁTYO
KARNAL, LEANDRO
KATO, RICARDO
KATZ, WELWYN W. 
KAY, SARAH
KEBACH, PATRÍCIA
KENNEDY, IAN G.
KETTENMANN, ANDREA
KILEY, DAN
KIMURA, SHOKO
KING, STEPHEN MICHAEL
KIPLING, RUDYARD
KISHIMOTO, TIZUCO
KITHÃULU, RENÊ
KLEIN, LÍGIA REGINA
KLIKSBERG, BERNARDO
KLINGSÖHR-LEROY, CATHRIN
KLINICKI, LADISLAU
KLINK, AMYR
KLINTING, LARS
KOK, GLÓRIA PORTO 
KOKOL, ANELIS
KOKUBUN
KONDO, DANIEL
KORMANN, JAQUELINE
KOTHE, SIEGFRIED
KOWALCZYK, MARIE THERESE
KOZEL, SALETE
KRAMER, SONIA
KRANTZ, JUDITH
KRANZFELDER, IVO
KRASILCHIK, MYRIAM
KRIEGER, GUSTAVO 
KRIEGESKORTE, WERNER
KRUG, ANDRÉA ROSANA FETZNER
KRYSTOF, DORIS
KUHN, THOMAS
KUMON, TORU
KUPSTAS, MARCIA
LABROUSSE, ALAIN 
LACAN, JACQUES
LACERDA, NILMA
LACHENMEYER, NATHANIEL 
LACOCCA,LILIANA
LADEIRA, JULIETA DE GODOY
LAERTE
LAGE, MICHELINE
LAGO, ANGELA
LAJOLO, MARISA
LALAU
LAMB, MARY
LAMBERT, GILLES
LAMPEDUSA, GIUSEPPE TOMASI DI 
LANCELLOTTI, SILVIO
LANCHA, JOUBERT JOSÉ
LARAIA, ROQUE DE BARROS 
LASSEN,  CHRISTIAN RIESE
LAURITO, ILKA BRUNHILDE
LAWRENCE, D. H. LAWRENCE
LAZARIN, ANTONIO
LE BOULCH, JEAN
LE CARRÉ, JOHN
LE GOFF, JACQUES
LE HUCHE, MAGALI
LEAL, ISA SILVEIRA 
LEAL, MARIA TERESA
LEAR, EDWARD
LEE, KATE 
LEE, TONY
LEFEBVRE, GEORGES
LEGRAND, LOUIS
LEIDENS, ROSA DE LIMA
LEINDECKER, DUCA
LEITÃO FILHO, HERMÓGENES F.
LEITE, ALCIENE RIBEIRO
LEITE, JOSÉ R. T. 
LEITE, MÁRCIA
LEITE, SÍLVIO FERREIRA
LELLIS
LEMINSKI, PAULO
LEMOS, MIGUEL
LEONELLI, LUIZ BERNARDO
LESAGE, MARION 
LESANN, JANINE
LESSA, ORÍGENES
LETRÍA, ANDRÉ
LETRIA, JOSÉ JORGE
LEVINE, KAREN
LEVITAN, CLÁUDIO
LIBÂNEO, MARCIA
LIBERALI, FERNANDA COELHO
LIBERATO, YARA
LIMA, A . FRAGA
LIMA, ADRIANA DE OLIVEIRA 
LIMA, ARISTIDES FRAGA
LIMA, DANIEL
LIMA, DOUGLAS SILVA
LIMA, DUARTE CONSTÂNCIA
LIMA, EDY
LIMA, GERALDO
LIMA, GRAÇA
LIMA, HELOISA PIRES
LIMA, JOÃO FERREIRA
LIMA, JOSÉ AMÉRICO DE
LIMA, MARIA LUISA DE ABREU
LIMA, MÁRIO HÉLIO GOMES
LIMA, REGINA CELIA VILLAÇA
LIMA, VERA M.
LIMA,MARIA LUISA DE ABREU
LIMÓS, ANNA
LINARES,ALCY
LINHARES, JOSÉ AGUIAR 
LINS, GUTO
LINS, OSMAN
LISBOA, ADRIANA
LISBOA, HENRIQUETA
LISPECTOR, CLARICE
LOBATO,  MONTEIRO
LÔBO, YOLANDA
LOCH,JUSSARA MARGARETH DE PAULA
LODY, RAUL
LOKATOS, EVA MARIA
LONDON, JACK
LONGATO F.,SILVIA REGINA
LONGLAND, STELLA
LOPES NETO, SIMOES 
LOPES, CACÁ
LOPES, CARLOS HERCULANO
LOPES, CIDA
LOPES, WALTER
LOPEZ, ADRIANA
LOUREIRO, ALÍCIA MARIA ALMEIDA
LOUREIRO, ELIZABETH MARIA ARAÚJO
LOURENÇO, BARBOSA 
LOURO, GUACIRA LOPES
LOUZEIRO, JOSÉ
LOVERCRAFT, H.P.
LOWCHINOVSCY, SÉRGIO LUIZ
LÜDKE, MENGA
LUKAS, CATHERINE
LUTZEMBERGER, JOSE
LUZ, ANTHERO
MACDONALD, FIONA
MACDONALD, ROSS
MACEDO, JOAQUIM MANEUL DE
MACEDO, JOSÉ RIVAIR
MACHADO, ALCÂNTARA 
MACHADO, ANA MARIA
MACHADO, ÂNGELO
MACHADO, ANÍBAL
MACHADO, ANTÓNIO DE ALCÂNTARA
MACHADO, CORDÉLIA S. MACHADO
MACHADO, DYONELO
MACHADO, JUAREZ
MACHADO, LOURDES SANTOS
MACHADO, LUIZ RAUL
MACHADO, MARIA CLARA
MACHADO, MARIA CRISTINA GOMES
MACHADO, NILSON JOSÉ
MACHADO, NÍLSON JOSÉ 
MACHADO, PATRÍCIA BRUM 
MACHADO, SILVIA MARIA DE CAMPOS
MADUREIRA, MARIA CÉLIA 
MAESTRI, MÁRIO
MAGALDI, SÁBATO
MAGALHÃES, ANA MARIA
MAGALLANES, ALEJANDRO
MAGINA,SANDRA
MAGNOLI, DEMÉTRIO
MAHFUZ, NAGUIB
MAIA, JOSEANE
MAIA, LUIZ
MAIA, VITOR
MAITLAND, JOANNA
MAJOR, RENÉ
MAKHOUL, GEORGES A .
MALUF, NAGIBA MARIA RIZEK
MAMBRINI, MIRIAM
MANASTA, ATTILIO
MANDARAS, LYNDA E AREA
MANDELLI, PAULA
MANFREDI, VALÉRIO MASSIMO
MANGUAHÃ
MANN, THOMAS
MANNING, MICK
MANNING, SUSAN
MANSFIELD, KATHERINE
MANTOAN, MARIA TERESA EGLÉR
MANTOVANI, MARIA 
MANTOVANI,KATIA PAULILO
MANZANO, SYLVIA 
MAOR, ELI
MÁRAI, SÁNDOR
MARANDIO, MARTHA
MARCHIORI, ROGERIO
MARCO, ADEMIR DE
MARCON, HELENA CAROLINA
MARCONDES FILHO, CIRO
MARCONI, MARIA DE ANDRADE
MARCOS, ALEXANDRE
MARCUSCHI, LUIZ ANTÔNIO
MARIGNY, CARLOS DE
MARINHO, AMÉRICA DOS ANJOS
MARINHO, JOÃO CARLOS
MARINHO, JORGE MIGUEL
MARINS, FRANCISCO
MARLOWE,CHRITOPHER
MARQUES, ADHEMAR MARTINS
MARQUES, CRISTINA
MARQUES, FLÁVIA
MARQUES, ISABEL
MARQUES,CRISTINA
MARQUEZ, YÊDA
MARRACH, SÔNIA A . 
MARTINELLI, ROGÉRIO JOSÉ
MARTINELLI, TÂNIA ALEXANDRE
MARTINELLI, TÂNIA ALEXANDRE 
MARTINEZ, PAULO
MARTINS DIAS, MARIA HELOISA
MARTINS, ADILSON
MARTINS, ANA LUIZA
MARTINS, CLÁUDIO
MARTINS, EDNÉA IARA SOUZA 
MARTINS, GEORGINA DA COSTA
MARTINS, GILBERTO DE ANDRADE
MARTINS, JOSÉ PEDRO SOARES
MARTINS, MARIA DO CARMO PAES
MARTINS, MARIA LUÍSA SORIANO
MARTINS, MARIA SILVIA SINTRA
MARTINS, RAQUEL MÁCIA FONTES
MASSA, ANA CRISTINA
MASSARANI, MARIANA
MASSI, AUGUSTUS
MASUR, JANDIRA
MATHESON, RICHARD
MATOS, CLARENCE JOSÉ  DE
MATTA, SOZÂNGELA SCHEIMIM
MATTOS, CYRO DE
MATTOS, NEIDE SIMÕES DE
MATUCK, RUBENS
MAUPASSANT, GUY DE
MAYLE, PETER
MAZZARO, JOSÉ LUIZ
MAZZOTTA, MARCOS S.
MCKEE, DAVID
MCLEISH, EWAN
MEIRA, LUCIANO
MEIRELES, CECÍLIA
MEIRELLES, RAFAEL
MEIRIEU, PHILIPPE
MELLO, DANIELA
MELLO, GUIOMAR NAMO DE
MELLO, MARIA CONCEIÇÃO D'INCAO E
MELLO, ROGER
MELLO, SÍLVIA
MELLO, SORAIA SILVA DE
MELLO, THIAGO DE
MELO, CLÉLIA MÁRCIA 
MELO, GILBERTO BRAGA DE
MELVILLE, HERMAN
MENDONÇA, ADRIANA
MENDONÇA, BERNARDO DE
MENDONÇA, LUCIANA V.P. DE 
MENDONÇA, NASCIMENTO MAI 
MENDONÇA, SONIA
MENÉNDEZ, MARGARITA
MERIMEE, PROSPER
MESQUITA, ALICE
MEURIS, JACQUES
MEYER, DAGMAR 
MHLOPHE, GCINA
MICELI, PAULO
MICO, PEDRO
MIDDLETON, HAYDN
MIGNOT, ANA CHRYSTINA VENANCIO
MIGUEZ, FÁTIMA
MILANO, CAUÊ STEINBERG
MILLARD, ANNE
MILLER, HENRY
MILOS JUNIOR, GILBERTO
MILTON CAMARGO
MINDLIN, BETTY E NARRADORES INDÍGENAS
MINK, JANIS
MIOR, MÁRIO SOUTO
MIRANDA, ANA LÚCIA 
MIRANDA, MARCO
MIRANDA, SIMÃO DE
MIROW, KURT RUDOLF
MITTER, MATT
MONACO, OCTAVIA
MONARCHA,CARLOS
MONTALVO, GERMAN
MONTANARI, VALDIR
MONTEIRO, ALEXANDRINA
MONTEIRO, E. JACY
MONTEIRO, JOÃO PAULO 
MONTEIRO, JOSÉ MAVIEL
MONTEIRO, MARIA BEATRIZ
MONTELLO, JOSUÉ
MONTENEGRO, OSVALDO
MOON, FÁBIO 
MORAES, ANTONIETA DIAS DE
MORAES, ARTUR G. DE 
MORAES, VINICIUS DE
MORAIS, ARTUR GOMES DE
MORAIS, BRUNO LEONARDO GIRALDELLI DE
MORALES, YUYI
MORAVIA, ALBERTO
MOREIRA, ANTÔNIO FLÁVIO BARBOSA
MOREIRA, HAYLTON GRAY
MOREIRA, JOSÉ RICARDO
MORELLATO, PATRÍCIA C. 
MORENO, CLAUDIO
MOREYRA, CAROLINA
MORGADO, SILVA LENIR 
MORGAN, GARETH
MORGENSTERN, SUSIE 
MORICONI, ITALO
MORLEY, HELENA 
MORUS, TOMAS
MOSES, BRIAN
MOTA, CARLOS GUILHERME
MOTT, ODETTE DE BARROS
MOULIN, NILSON
MOURA, ANDRÉ 
MOURA, PAULO
MOURÃO, RONALDO ROGÉRIO DE FREITAS
MUHLBERGER, RICHARD
MUNARI, ALBERTO
MUNDURUKU, DANIEL
MUNDY, MICHAELENE
MUNIZ, FLÁVIA
MUNIZ, LAURO CÉSAR
MURAD, JOSÉ ELIAS
MURALHA, SIDÓNIO
MURILO, GERSON
MURPHEY, CECIL
MURRAY, ROSEANA
MURRIE, ZULEIKA DE FELICE
MUSSAPI, ROBERTO
MUSTAFA, YAZBEK 
NACARATO, ODAIR MENDES
NAHUM, ERDNA PERUGINE
NALI, PEDRO
NAMIKOSHI, TORU
NASCIMENTO, VERNECI DOS SANTOS
NASPOLINI, ANA TERESA
NASSAR, RADUAN
NASSIF, RICARDO
NAYER, JUDY
NEGROPONTE, NICHOLAS
NEIVA, LIA
NEJM, MARIA ESTHER
NELSON, JACK K.
NÉRET, GILLES
NERUDA, PABLO
NESTROVSKI, ARTHUR
NETHO,PAULO
NEVES, ANDRÉ
NEVES, JOSÉ ALBERTO PINHO
NEVES, LIBÉRIO
NEWBERY, ELIZABETH
NICHOLIS, MIKE
NICOLELIS, GISELDA LAPORTA
NICOLÓ, GREGORIO
NIELSON, CLAIRE 
NIETZSCHE, FRIEDRICH
NIGRO, ROGÉRIO GONÇALVES
NIN, ANAÏS
NINÁ, NAY
NINETE ROCHA
NISKIER, ARNALDO
NOBRE, ANTÔNIO
NÖRNBERG, MARTA
NORONHA, TERESA
NOVAES, J. F.
NOVAES, LUIZ ANTÔNIO
NUNES, CÉSAR A. 
NUNES, CLARICE
NUNES, SILMA DO CARMO 
NUNES, TEREZINHA
NUVENS, SEBASTIÃO
OCELOT, MICHEL
ODA, TERUKO
OLIC, NELSON BACIC
OLIMPIO, DOMINGOS
OLIMPIO, FABIOLA LOPES SILVA
OLIVE, MARIA
OLIVEIRA FILHO, MILTON CÉLIO DE 
OLIVEIRA, AURÉLIO DE
OLIVEIRA, DAISY LARA DE
OLIVEIRA, DJALMA PINHO REBOUÇAS DE
OLIVEIRA, GILVAN SAMPAIO
OLIVEIRA, JÔ
OLIVEIRA, JOSENIA LIMA DE
OLIVEIRA, JOTA DE
OLIVEIRA, KIUSAM DE
OLIVEIRA, LIDUINA BARTHOLO DE
OLIVEIRA, LUIZ ANTONIO PINTO
OLIVEIRA, MARCELO RIBEIRO  LEITE DE
OLIVEIRA, MARCOS MARQUES
OLIVEIRA, NELSON DE 
OLIVEIRA, NEWTON RAMOS DE
OLIVEIRA, PAULO MEDEIROS DE
OLIVEIRA, REGINA FÁTIMA CALDEIRA DE  
OLIVEIRA, RUI DE
OLIVEIRA, TATIANA
OLIVEIRA, VERA LUCIA DE
OLIVIERI, ANTONIO CARLOS
OLMO, MARIA JOSÉ ACEDO DEL 
ONO, WALTER
ORLANDI, ENI PULCINELLI
ORMUNDO, WILTON
ORTHOF, SYLVIA
ORTIZ, RENATO
ORWELL, GEORGE
OSBORN, MARIJANE
OSTERWOLD, TILMAN
OTERO, REGINA 
OVÍDIO
OXLADE, CHRIS
PABST, MARCEL LUIZ
PACCE, CLÁUDIA F
PACHECO, ELIS
PACHECO, JOSÉ
PACHECO, SUZANA MOREIRA
PADILHA, PAULO ROBERTO
PAES, DUCARMO
PAES, JOSÉ PAULO 
PAIM, PAULO
PAIVA, EDUARDO FRANÇA
PAIVA, MANUEL DE OLIVEIRA
PAIVA, VERA
PAIXÃO, FERNANDO
PALACKAPILLY, CARÍNA
PALEARI, LUCIA
PAMPLONA, ROSANE
PANELAS, OLIVEIRA DE
PAPESCU, MONIKA
PAQUET, MARCEL
PARK, MARGARETH BRANDINI
PARKER, STEVE
PARO, VITOR HENRIQUE
PARREIRAS, NINFA
PASCALE, ROSANA
PASCUAL, MARIA
PASIM, LUIZA
PASQUALE, COSTA CSCINO
PASSINI, ELZA Y.
PASSONI, CÉLIA
PASSUELLO, MARIA DO CÉU PIRES
PASTELLS, ANGEL ALSINA I
PATITUCCI, ANTONIO CARLOS
PATRIOTA, MARGARIDA
PAULA, BRANCA MARIA DE
PAULA, IEDA DE
PAZINATTO, MARIALUIZA RIBEIRO
PEDRAS, LUZIA VILLELA
PEDRO, ANTONIO
PEDROSO, MYLENE LYRA
PELLEGRINI, DOMINGOS
PELLEGRINI, SANDRA BRECHERET
PELUSO, ANGELO
PENA, MARTINS
PENNA, MARIA LUIZA
PENTEADO, MARIA HELENA
PEREGALLI, ENRIQUE
PEREIRA, ANDRÉ
PEREIRA, ANDRÉA KLUGE
PEREIRA, ÉDIMO DE ALMEIDA
PEREIRA, MANUEL
PEREIRA, PEDRO SOUSA
PEREIRA, SYLVIO
PEREIRA, WILSON
PERES, NEUZA LOZANO
PERHAM, MOLLY
PERLMAN, ALINA
PERRAULT, CHARLES
PERRENOUD, PHILIPPE
PESSANHA, CAMILO
PESSOA, FERNANDO
PESTILI, ELLEN
PETTY, KATE
PFEIFFER, BRUCE BROOKS
PIAGET, JEAN
PIER, MIGUEL DE
PIERO, CELIA E.A.DI
PIESIECKI, GERARD JOZEF
PIETRI, ÉMERSON
PILLAR, ANALICE DUTRA 
PIMENTA, MARCUS AURELIUS
PIMENTA, SELMA G. 
PIMENTEL GÓES, LÚCIA
PIMENTEL, LUÍS
PIÑON, NÉLIDA
PINSKY, MIRNA
PINTO, GERUSA RODRIGUES
PINTO, LUIS GONZAGA OLIVEIRA
PINTO, SÉRGIO DE CASTRO
PINTO, ZÉLIO ALVES
PINTO, ZIRALDO ALVES
PINTO,ALOYLSON GREGÓRIO DE TOLEDO
PINTO,GERUSA RODRIGUES
PIQUEIRA, GUSTAVO
PIRANDELLO, LUIGI
PIRES, MARCELO
PIROLI, WANDER
PIVANO, FERNANDA
PIZA, CARMELINA DE TOLEDO
PLACE, ROBIN
PLAZY, GILLES
PLEINES, JÜRGEN-ECKARDT
PLUTARCO
PNSKY, CARLA BASSANEZI
POE, EDGAR ALLAN
POLIZZI, VALÉRIA PIASSA
POLLEGRINI, DOMINGOS
POLO, MARCO
POMPÉIA, RAUL
PONTES, JOSÉ ALFREDO VIDIGAL
PONTIN,JOEL A.
PONTY, ERIC
POPLE, STEPHEN
POPOV, NIKOLAI
PORTA, PAULA
PORTE, H. ELEANOR
PORTELA, FERNANDO 
PORTELA, MIRIAM
PORTELLA, VALÉRIA 
PORTER, ELEANOR H.
PORTES, MAXS
PORTO, AMÉLIA
PORTO, CRISTINA
POSSENTI, SÍRIO
POUGY, ELIANA
POUZADOUX, CLAUDE
POZO, JUAN IGNÁCIO
PRADO JUNIOR, CAIO 
PRADO, LUCÍLIA JUNQUEIRA DE ALMEIDA
PRADO, PATRÍCIA D. 
PRADO, ZULEIKA DE ALMEIDA
PRATA, MÁRIO
PRATES, VALQUÍRIA
PRETA, STANISLAW PONTE
PREZIA, BENEDITO
PRIETO, HELOISA
PRIORE, MARY DEL 
PROENÇA
PUCCI, BRUNO
PUNTEL, LUIZ
QUADROS, JANIO 
QUEIRÓS, BARTOLOMEU CAMPOS DE
QUEIROZ, DINAH SILVEIRA DE
QUEIROZ, EÇA DE 
QUEIROZ, RACHEL DE
QUEIROZ, TANIA DIAS 
QUENTAL, ANTERODE
QUINTANA, MÁRIO
QUOIST, MICHEL
RACHLIN, ANN
RAFFA, IVETE
RAILLON, LOUIS
RAMOS, ADRIANA
RAMOS, ANNA CLÁUDIA
RAMOS, GRACILIANO
RAMOS, LUCIANO
RAMOS, LUZIA FARACO
RAMOS, MARIO
RAMOS, ROBERTO CARLOS
RAMOS, ROSSANA
RANGEL,JORGE ANTONIO 
RAPOPORT, ANDREA
RAQUEL, ANA 
RASPE, RUDOLPH ERICH
RAVER
REBELO, MARQUES 
REDIN, EUCLIDES
REDIN, MARITA
REED, JOHN
REGINA, BERLIM
REGINO, SUELI MARIA DE
REGO, JOSÉ LINS DO
REGO, KARIN SÁ
REGO, LÚCIA LINS BROWNE
REIS, BENEDICTA APARECIDA C. DOS 
REMARQUE, ERICH MARIA
RENDELL, RUTH
RENNER, ROLF G.
RENNÓ, REGINA
REPCHUK, CAROLINE
REPETTO, JUAN CALOS PORTA
RESENDE, ANTONIO CARLOS
RESENDE, OTTO LARA
REUTER, BJARNE
REVIEJO, ANA ISABEL
REVIEJO, CARLOS
REY, MARCOS
REY, RENATO CASAL DE
REYES, YOLANDA
REZENDE, JOSÉ CAMELO DE MELO
REZENDE, MARIA VALÉRIA
REZENDE, SÍLVIA 
REZENDE, STELLA MARIS
RHODAN, PERRY
RIBEIRO, CÉLIA PINTO
RIBEIRO, DARCY
RIBEIRO, EID
RIBEIRO, EYN MELO
RIBEIRO, FLAVIA  DIAS
RIBEIRO, GONÇALVES
RIBEIRO, JOÃO UBALDO
RIBEIRO, JONAS
RIBEIRO, JOSÉ HAMILTON
RIBEIRO, JÚLIO
RIBEIRO, LOURDES EUSTÁQUIO PINTO 
RIBEIRO, MARIA LUISA SANTOS
RIBEIRO, NYE
RIBEIRO, REGINA LÚCIA SANTOS
RIBEIRO, ROBERVAL GUEDES
RIBEIRO, VERENICE LEITE 
RICARDO, CASSIANO
RICARDO, STELLA MARIS BORTONI
RIORDAM, JAMES
RIOS, MARIA DA GRAÇA
RIOS, ROSANA
RIOS, SÂMIA
RIOS, TEREZINHA AZEREDO 
RIOS, ZOÉ
RISEN, JAMES
RISTOW, FATIMA 
RITER, CAIO
RITO, LÚCIA
ROBATTO, SONIA
ROCA, NURIA 
ROCHA, CLÓVIS COELHO
ROCHA, JAIME FERNANDO VILLAS
ROCHA, MÁRIO BORGES DA
ROCHA, RUTH 
ROCHA, VANESSA CAMPOS
ROCHA, WILSON
ROCHUT, JEAN-NOËL
RODELLA, JOÃO BOLDRIN
RODGERS, MARY
RODRIGUES, ARLETE MOYSÉS
RODRIGUES, CRISTINA DE A. G.
RODRIGUES, HUGO
RODRIGUES, JUCIARA
RODRIGUES, MOACIR
RODRIGUES, NELSON
RODRIGUES, VILMAR
RODRIGUEZ, ANA CAROLINA VIEIRA
RODRIGUEZ, VIEIRA ANA CAROLINA
ROHRS, HERMANN
ROLIM, MARIA AUGUSTA
ROMANELLI, EDGARD
ROMÃO, JOSÉ EUSTÁQUIO 
ROOKE, PATRICK
RORTY. RICHARD
ROSA NETO, ERNESTO 
ROSA, GUIMARÃES
ROSA, JOÃO GUIMARÃES
ROSA, NEREIDE SANTA 
ROSA, NEREIDE SCHILARO SANTA
ROSA, RODRIGO
ROSA, SONIA
ROSAS, ALEJANDRO
ROSE,LUIS H.
ROSS, TONY
ROSSI, MARIA HELENA WAGNER
ROSTAND, EDMOND
ROTERDÃ, ERASMO DE
ROTH, KLAUS
ROTH, OTAVIO
ROTTA, JOSEPHA MEDRANO
ROWLING, J.K.
RUBIRA, MANOEL CARLOS
RUILLIER, JÉRÔME
RUIZ, ALICE
RUÍZ, DENISE
RUSSELL, BERTRAND
RYLANT, CYNTHIA
SAAD, TIAGO
SABBAG, DAVID CONRADO
SABINO, FERNANDO
SÁ-CARNEIRO, MÁRIO  DE
SACRISTÁN, GIMENO J.
SADOVSKY, PATRICIA
SAGNER, KARIN
SAINT-EXUPÉRY, ANTOINE DE
SAKAI, SATN
SAKI, H.H. MUNRO
SALAMUNES, NARA
SALDANHA, ZÉ
SALERNO, SILVANA 
SALÉTO, VERA LÚCIA
SALINGER, J.D.
SALLES-COELHO, ANDRÉ
SANCHEZ , JUAN ESCÁMEZ
SANDOVAL , ANDRÉS
SANDRONI, LAURA
SANDRONI, LUCIANA
SANDRONI, PAULA
SANFELICE, JOSÉ LUIS
SANTANA, ANA PAULA
SANTANA, ELIANA C.
SANT'ANA, RENATA
SANT'ANNA NETO, JOÃO LIMA 
SANTANNA, AFFONSO ROMANO DE
SANTOS, ANDRÉ 
SANTOS, ANTÔNIO TEODORO DOS
SANTOS, CRISTINA
SANTOS, ENÉIAS TAVARES DOS
SANTOS, FABIANO DOS
SANTOS, FABIO CARDOSO
SANTOS, GABRIEL ARAUJO DOS
SANTOS, JOEL RUFINO
SANTOS, JOEL RUFINO DOS 
SANTOS, JOSÉ
SANTOS, JOSÉ LUIZ DOS 
SANTOS, MARCO ANTONIO CARVALHO
SANTOS, MARCOS CÉSAR DE OLIVEIRA
SANTOS, MILTON
SANTOS, SANDRA BENITES DOS
SANTOS, SANTA DOS 
SANTOS, WALTHER MOREIRA
SANTOS, WAYNE TOBELEM DOS 
SANVOISION, ÉRC
SARAIVA, JURACY ASSMANN
SARAMAGO, JOSÉ
SARDENBERG,CARLOS ALBERTO
SARGENTIM, HERMÍNIO
SARMENTO,DIRLÉIA FANFA
SAUERESSIG, SIMONE
SAUL, ANA MARIA
SAUVAIN, PHILIP
SAVAGET, LUCIANA 
SAVATER, FERNANDO
SAVIANI, DEMERVAL
SAYÃO, ROSELI
SCALON, PATRÍCIA A. 
SCARLATO, FRANCISCO C.
SCATAMACCHIA, MARIA
SCHAUFFERT, ESTELA
SCHIEL, DIETRICH
SCHILLING, VOLTAIRE
SCHIRMER, CAROLINA 
SCHMIDT, JOEL
SCHNEIDER, HELGA
SCHREIBER, FLORA RHETA
SCHUBERT, RENATE
SCHULZ, CHARLES M.
SCHWARTZ, GISELE MARIA
SCIESZKA, JON
SCLIAR, MOACYR
SCOTT, WALTER SIER
SEBER, MARIA DA GLÓRIA
SEBILLE, COLETTE
SECCO, PATRICIA ENGEL
SEGANFREDO, CARMEM
SÉGUR, CONDESSA DE
SEKIYA, TEREZA
SELEGUINI, LEILA
SELÉTO, VERA LÚCIA
SELLIER, MARIE
SEMBACH, KLAUS-JÜRGEN
SÊNECA
SENNA, COSTA
SEPÚLVEDA, CARLOS
SERRÃO, ALBERTO NUNES
SETH, BAUER 
SEVERINO, ANTONIO JOAQUIM
SEZERBAN, GUSTHAVO 
SEZERBAN, RAFAEL
SFAR, JOANN
SHAH, SONIA
SHAKESPEARE, WILLIAM
SHAW, GEORGES BERNARD
SHELDON, SIDNEY
SILVA, ADALBERTO FERREIRA
SILVA, ADRIANO F.
SILVA, ARACY LOPES 
SILVA, CONCEIL CORRÊA DA 
SILVA, EXPEDITO SEBASTIÃO DA
SILVA, IRAMI
SILVA, JOÃO MELQUÍADES DA
SILVA, LINDOMAR DA
SILVA, LUIZ INÁCIO DA SILVA
SILVA, LUIZGERALDO DA
SILVA, MANOEL CABOCLO
SILVA, MARIA BEATRIZ NIZZA DA
SILVA, MAURO LUIZ DA
SILVA, MINELVINO FRANCISCO
SILVA, NILTON FIDÉLIS
SILVA, NYE RIBEIRO
SILVA, TOMAZ  T. DA 
SILVA, TOMAZ TADEU DA 
SILVA, VERA M. LIMA E
SILVA, VERA MARIA TIETZMANN
SILVA,VALMORES CONCEIÇÃO DA
SILVA,YARA MAURA 
SILVEIRA, NIRA
SILVEIRA, ZULEIDE SIMAS
SILVERSTEIN, SHEL
SIMENON, GEORGES
SIMENON, MAIGRET
SIMIELLI, MARIA ELENA
SIMON, QUITTERIE 
SINGER, ISAAC BASHEVIS
SÍNGH, RÍNA 
SISTO, CELSO
SLIVA, CONCEIL C. DA
SMITH, FRANK
SMITH, LANE
SMITH, LOUIS M
SMOLE, KÁTIA STOCCO
SMOLKA, ANA LUIZA BUSTAMANTE
SMOLKA, NEIDE
SMOOTHEY, MARION
SOARES, EDUARDO SARQUIS
SOARES, MARIA INÊS BIZZOTTO
SOARES, RICARDO
SOARES, ROSÂNGELA
SOARES, SUELY GALLI
SOBANSKI, ADRIANE 
SOEK, ANA MARIA
SOËTARD, MICHEL
SOFOCLES
SO-HYEON, PARK
SOLA, JOSÉ ANTÔNIO
SOLÉ, ISABEL
SOLER, REINALDO
SOUSA,  MAURÍCIO DE 
SOUSA, AVANETE PEREIRA
SOUSA, CRUZ E
SOUSA, MARIA ALICE FERNANDES DE
SOUSA, MAURÍCIO DE 
SOUZA JÚNIOR, OSMAR MOREIRA 
SOUZA, AFONSO FELIX DE
SOUZA, ANGELA LEITE DE
SOUZA, ARI  HERCULANO DE
SOUZA, FLAVIO DE
SOUZA, HERBERT DE
SOUZA, IARA LIS SCHIAVINATTO CARVALHO
SOUZA, IZA RAMOS E AZEVEDO
SOUZA, LAÉ
SOUZA, LOLY AMARO DE
SOUZA, MÁRCIO
SOUZA, MARRICIO
SOUZA, MÔNICA DE 
SOUZA, SHIRLEY
SPADACIO, CRISTIANE
SPATE, DIETRICH
SPINELLI, ALEXANDRE
SPONVILLE, ANDRÉ COMTE
SPYRI, JOHANNA
SQUARISI, DAD
SSÓ, ERNANI
STABENOW, CORNELIA
STADEN, HANS
STAFFORD, TIM
STAHEL, MONICA
STAMM, MELISSA PROBST
STAREPRAVO, ANA RUTH
STARKE DESIGN 
STARLING, HELOISA MARIA MURGEL
STEELE, PHILIP
STEER, DUGALD
STEFANI ,STEFANIA
STEFANI, ROSALY
STEINBECK, JOHN
STEINER, REINHARD
STEINMANN, HELOISA 
STENDHAL
STENVENSON, ROBERT LOUIS
STEVENSON, LOUIS ROBERT
STEVENSON, ROBERT LOUIS
STEWART, PAUL
STILTON, GERONIMO
STINE, R.L
STOCK, SUZETE DE CÁSSIA VOLPATO
STOKER, BRAM
STRAUSZ, ROSA AMANDA
STRICKLAND, CAROL
STYCER, MAURÍCIO
SUASSUNA, ARIANO
SUBIRÁ, JOÃO PAULO MEDINA 
SUPLICY, MARTA
SVARTMAN, ROSANE
SWIFT, JONATHAN
SYPRIANO, LILIAN
TAETS, SILVANA PINHEIRO
TAFURI, MARCUS
TAHAN, MALBA
TAILLANDIER, FRANÇOIS
TANNONE, LEILA RENTROIA
TAPAJÓS, RENATO
TAQUELIM, CRISTINA
TASCA, MARIANA
TASSINARI, ALBERTO
TAVANO, SILVANA
TAVARES, BRÁULIO
TAVARES, SEBASTIÃO WAGNER DE SOUZA
TAVARES, TAVARES
TÁVORA, ARAKEN
TÁVORA, FRANKLIN
TAYLOR, BARBARA
